,0,1
21,留,"['HSK 3급 단어', '#/entry/zhko/f18e571fb9c840f8a23a25a71f942eee', 'HSK 6급 단어', '#/entry/zhko/828833ffcf0d4fb38986cb211bd03781', '#/entry/zhko/8ad46e8ff92041a1b9d16db0847832b0', '#/entry/zhko/bf95c73e357a4531a01c08ec496da68c', '#/entry/zhko/120eeb11f09c454abc8b9e7dc8ca454b', '#/entry/zhko/7f4961a5b6b44959a35ccecadeba9c2c', '#/entry/zhko/fc149582935448f6a55090fc3030aa87']"
22,水,"['HSK 1급 단어', '#/entry/zhko/e6d1447d93df4350a67765d2d803ff87', 'HSK 3급 단어', '#/entry/zhko/6aa80a703ec24cd7b26b2d9d09651810', 'HSK 4급 단어', '#/entry/zhko/b4a69be1f42648c5a00f490cab7de7d3', 'HSK 5급 단어', '#/entry/zhko/489a52a4339a44f4a4eb5e8b3e1cbe3d', '#/entry/zhko/bb67b0d819a14107a9be1aef3f9ab3f1', 'HSK 6급 단어', '#/entry/zhko/5dece0e610c9440793185fb43068768b', '#/entry/zhko/6ffc2cf2f0f942d6adb153abe38c3323', '#/entry/zhko/68799790e0d346c1a01ef0fe6e9f5508', '#/entry/zhko/79cecf595f83437ca0ae59f523f8218f', '#/entry/zhko/cea530cf48d14ab481b3cb9fe08d6fc1', '#/entry/zhko/d0504443e5014ec6be18d46c6745a01a']"
23,清,"['HSK 3급 단어', '#/entry/zhko/e2f5252273f9420986311d3124a7c4ee', 'HSK 5급 단어', '#/entry/zhko/7a58dccf7f8a491c87beee32d1904c77', 'HSK 6급 단어', '#/entry/zhko/3853f8fbe9ca403ba7fcb58d3d353e71', '#/entry/zhko/7a85ddce42ce442ab3063c6656e52adf', '#/entry/zhko/7ea86732ff064ad08a670edc4e70134c', '#/entry/zhko/17935473e3904018892ca1a00cc75653', '#/entry/zhko/860216e55712466ab6069d627d5447b1', '#/entry/zhko/b5c196f9388c43359759e8c30f35f9ad', '#/entry/zhko/08888a10f5c04577b382d89cf3c760af', '#/entry/zhko/21b37aa0730c4fc8a164856ab2e7df44', '#/entry/zhko/ef3465c6f8174978aca6ab1e1b55c291']"
24,色,"['HSK 2급 단어', '#/entry/zhko/5ffb72392de240d2867fa79c969afe1f', 'HSK 4급 단어', '#/entry/zhko/f167b9c261e44b88b14d2841176ada3d', 'HSK 5급 단어', '#/entry/zhko/c42f571230814acba719d476a3fc23bb', '#/entry/zhko/d5770f05c18947ba9a395add45c4b3ca', '#/entry/zhko/71e58cd356aa406f9576fb761453f925', 'HSK 6급 단어', '#/entry/zhko/c35e1d52a8584a0d8cba903fc37670fd', '#/entry/zhko/f477f67c5313460eac0e18c975ed0082', '#/entry/zhko/e9a2f42b3e414f5bb4d8171435d409aa', '#/entry/zhko/bb4bae0281154e76ba9e66623fb65892']"
25,号,"['HSK 4급 단어', '#/entry/zhko/d6c8450709e34f999f11fc44d0bba315', 'HSK 5급 단어', '#/entry/zhko/4a70f32c63bd49b28e552f803da812fc', '#/entry/zhko/f06c7ebb98c548718299373d440cd006', 'HSK 6급 단어', '#/entry/zhko/3d90c7c63e1e431b8e99628f03edd0a7', '#/entry/zhko/7695a34ec6fd46babca661136994f560', '#/entry/zhko/6102de6886ec46c0b9a176f0829d16cc']"
26,世,"['HSK 3급 단어', '#/entry/zhko/ae4048857d3b4c7081fc099633e95853', 'HSK 4급 단어', '#/entry/zhko/d7220fcc94e242e2b13273e33906c40e', 'HSK 5급 단어', '#/entry/zhko/ba9da45850214b758dba5202464bbffd', 'HSK 6급 단어', '#/entry/zhko/e69c300ccc494538af9485c1d273071d', '#/entry/zhko/fa021709d01a459183da4a3a192199cf', '#/entry/zhko/c52607d0a89b4fb78862cd96f4e26f76', '#/entry/zhko/6107ce54920044429883e9036f92d822']"
27,远,"['HSK 4급 단어', '#/entry/zhko/522669b5d98c4a39841f8b336d09441f', 'HSK 6급 단어', '#/entry/zhko/e9ae4a74e74341f8bde73bd7730615ce', '#/entry/zhko/467e461e069e402780b790adcf120388', '#/entry/zhko/f0c765d37f1c419dbed9cf63a06600b6']"
28,片,"['HSK 5급 단어', '#/entry/zhko/6b2c969520aa4758a07964e7f52d3be7', '#/entry/zhko/eeb43d3440534e45acd94c3b73a6cd20', 'HSK 6급 단어', '#/entry/zhko/42098554f7f343999e9c6d9fec909985', '#/entry/zhko/81a0aff6475c4df1a574b8870c971bcf']"
29,官,"['HSK 6급 단어', '#/entry/zhko/185cb4c9c2634c8a876dae152a8f8d2b', '#/entry/zhko/7bef602ec4e5405ebd14c6e95386ac30', '#/entry/zhko/b6e67f6621d447d685c00d3b7e4e840e']"
30,口,"['HSK 4급 단어', '#/entry/zhko/9aa2371c76d240058aad2dd27dc0c4c3', 'HSK 5급 단어', '#/entry/zhko/7fdd1ff946bf4a94829b205a8b27e62b', '#/entry/zhko/a73a16ae000c43a7bc029968f586d63e', '#/entry/zhko/d8ce92799a504529b2f294401fdaa859', '#/entry/zhko/1834118410274d6ea66ae8ba7e968dec', '#/entry/zhko/837ef5fa6db040d5ad6750b2207b2ddb', '#/entry/zhko/a18e9a71e3714c02838723df92a59c5e', 'HSK 6급 단어', '#/entry/zhko/0431583d504b4bf4a277c71c201819f7', '#/entry/zhko/71e73ae45ea04f50ab1dd4e53ea02705', '#/entry/zhko/24d60c7b178a453fb0093d1ed3d4b598', '#/entry/zhko/521d8b6553034c138c1410c1d91a994e', '#/entry/zhko/990471644009439fb05c0dfe62e683ec', '#/entry/zhko/ee9db2c8707b484dab5e1e35cf330477', '#/entry/zhko/fcede20620d14fb091a9270bcd11ba9e', '#/entry/zhko/59dcd1cf0cd0460dac9f3af8f0289e42']"
