,0,1
21,想,"['HSK 4급 단어', '#/entry/zhko/38905664d3764cc3b8a4241b4847845c', 'HSK 5급 단어', '#/entry/zhko/fa2074432847418cab99eb56b3230475', '#/entry/zhko/e6b83519b91d42e78f1b256119b5f7ec', '#/entry/zhko/8644922de23a4a6799ae35c516d6f3ee', '#/entry/zhko/9d193c43cfec493ba552a54055cb570f', '#/entry/zhko/e54d133691c34b0f8f3a940bfaf25441', '#/entry/zhko/efbe4750e25147d8ab0fc47e868c8fd4', 'HSK 6급 단어', '#/entry/zhko/76dcb9abf8a8490686e2a6c8ce4877fb', '#/entry/zhko/a13ab39c84884500a5b841abf573097e', '#/entry/zhko/1a64de4895164255bea73417ef4b6173', '#/entry/zhko/4a52a67ca83e4244b76a5ca51469bc5b', '#/entry/zhko/c569264beaf942dca2e5af90a59f7fd6']"
22,能,"['HSK 2급 단어', '#/entry/zhko/2be640927a1b4aa8a3202975775dd8ea', 'HSK 4급 단어', '#/entry/zhko/434240eea7b345768889e6590c37cc0a', 'HSK 5급 단어', '#/entry/zhko/9af706d73f8f4e8a9b5daf899b4dcf67', '#/entry/zhko/f04fe515040f4027854ece92148179e6', 'HSK 6급 단어', '#/entry/zhko/4ab483af11ce4a078cf8176d09381dfa', '#/entry/zhko/2bfdfb746289494d8761b86da72c6857', '#/entry/zhko/2e09f1eeab0c48a9a91b58110f7cf4a5', '#/entry/zhko/3aee5005a64942e48adf23a6b1caf305', '#/entry/zhko/3d777ebc652345a4b828a86f57ef1ee9', '#/entry/zhko/907e34919e3a441a8875d5412d214ccd', '#/entry/zhko/8f4aee86997847a0aa8e680eb8e0c8fb', '#/entry/zhko/e6238fc19e1a4f559922abdcf750ec22']"
23,上,"['HSK 1급 단어', '#/entry/zhko/bd7b24a8416e40a094b852e3522610b9', 'HSK 2급 단어', '#/entry/zhko/df3bef27479c49eb9984bd1764d8ad93', 'HSK 3급 단어', '#/entry/zhko/5168d2cfd3ae47eb93a37b4e0224f6fd', '#/entry/zhko/f70c7d5e35c9436e9d16b658750788ba', 'HSK 5급 단어', '#/entry/zhko/2cf5e3d3ec7841278f58fc935ed1b7d3', 'HSK 6급 단어', '#/entry/zhko/717e9e27a7744b3981783d646aafb7e5', '#/entry/zhko/182ca14bf632452bb99d765f79d6d03c', '#/entry/zhko/4e66006154324185bde1a60bc0228aec', '#/entry/zhko/90b6e7ac54924ee9ab79aaa9b723d769', '#/entry/zhko/d0b00ffa0e46437584176307399e0836', '#/entry/zhko/097a6eb767554706ac53ec1c1f9cd579', '#/entry/zhko/ad7f46587b6e4c489d196627b718ee15', '#/entry/zhko/2350411b01de4518964ee713b38538ca']"
24,去,"['HSK 2급 단어', '#/entry/zhko/ff0b85ae614d4287a6d4a34aff2608d2', 'HSK 3급 단어', '#/entry/zhko/2f8de7777af1439a932968a11fac618f', '#/entry/zhko/8df8b45a411a45e0aad4b4925cc491cb', 'HSK 5급 단어', '#/entry/zhko/ba9da45850214b758dba5202464bbffd', '#/entry/zhko/66af985e7a714fef9be8a7b31a13a59c']"
25,道,"['HSK 2급 단어', '#/entry/zhko/8d5efa64a614474c917933922679c530', 'HSK 3급 단어', '#/entry/zhko/392696b692bd496380d8558393a0dc08', 'HSK 4급 단어', '#/entry/zhko/e7e34c0d5c334ba4819f706a362caaac', '#/entry/zhko/769fa91ea0d544f18df3f8c9e7d8dca5', 'HSK 5급 단어', '#/entry/zhko/9ce02c8ed4964b83acc87dadf9e2ba35', '#/entry/zhko/3b649ffaa7d644c48830bb9d257746f3', '#/entry/zhko/60e11fb0c0524bde97b31bdf272115e1', '#/entry/zhko/cbe95d6d70514366833d96a9bac26b74', 'HSK 6급 단어', '#/entry/zhko/101c2d8740554abbbea7bdea3b04e3cc', '#/entry/zhko/392f060a8117404780d7f12433612416', '#/entry/zhko/6c0eece0e50142b29c87a3c7ac494e28', '#/entry/zhko/29c8afac0dde4c3ca343f3ba83144a21', '#/entry/zhko/5f9748577e5146dba6bb824150c92504', '#/entry/zhko/635f8a01a2ac41d08788b835b1a8c030', '#/entry/zhko/e494d9cbebef4a7aaf80c6793d166272', '#/entry/zhko/f0c765d37f1c419dbed9cf63a06600b6', '#/entry/zhko/00c0a9d9b03e43449fe121f55236ba0d', '#/entry/zhko/113d6f956fae49df83503cf5bc8ee9e9']"
26,看,"['HSK 1급 단어', '#/entry/zhko/b66039be61724e04ae09c46d884e5b86', 'HSK 4급 단어', '#/entry/zhko/05c6c91b652344ab837f67a3e3af351a', 'HSK 5급 단어', '#/entry/zhko/22181989a4d3451b86b4b932a14de03d', '#/entry/zhko/dfd8f0526e834c5cb8841c2c99344782', 'HSK 6급 단어', '#/entry/zhko/3ea27b458bca4718a9b2dd275ca3ebc2']"
27,可,"['HSK 2급 단어', '#/entry/zhko/d3f49529d96c4b35a743669eed88fb10', '#/entry/zhko/2be640927a1b4aa8a3202975775dd8ea', 'HSK 3급 단어', '#/entry/zhko/35140d5b79a940d195103185c8e269b8', 'HSK 4급 단어', '#/entry/zhko/9749ba515f9a4b489854466cb9c585b0', '#/entry/zhko/67a4b45ea0474bbc98f011e9b9f56abf', '#/entry/zhko/85e7be8316ec43a0b9e3be74e32ee4d3', 'HSK 5급 단어', '#/entry/zhko/c21835da9e91453893845d484d6046a5', '#/entry/zhko/e88b00ee0c794196b56b51eaa304d782', '#/entry/zhko/daac8077182f42faad76cc63391d3496', '#/entry/zhko/e9b23ff85205480ba0a7490481265224', 'HSK 6급 단어', '#/entry/zhko/0431583d504b4bf4a277c71c201819f7', '#/entry/zhko/a8c1b65911634e92aa9ebae0a7bdc75b', '#/entry/zhko/f5f8749ea6fb41358099144ebf0ad3a3', '#/entry/zhko/0a5a55c052a646748a716b3d0a2eecc9', '#/entry/zhko/688ccde5cb6a49a49bacf69dbc0213c7', '#/entry/zhko/8f4aee86997847a0aa8e680eb8e0c8fb', '#/entry/zhko/41c3a463b2b946e490185154b327cefd', '#/entry/zhko/9a459cde64b847238def9a5eb3a3993e', '#/entry/zhko/fcede20620d14fb091a9270bcd11ba9e']"
28,知,"['HSK 2급 단어', '#/entry/zhko/8d5efa64a614474c917933922679c530', 'HSK 4급 단어', '#/entry/zhko/39550a15d24043668a6bd84dee6994dd', 'HSK 6급 단어', '#/entry/zhko/7b721d650b4547ad9ca031cf566cb4b8', '#/entry/zhko/fabc51754cdc4d18ba000177da4560d4', '#/entry/zhko/48e4d04c3f7549f9964a1c365723878f', '#/entry/zhko/c046f167d0a74c4893603f7e27f7b509', '#/entry/zhko/b3baa1a3081e40acadedce096fb585a3']"
29,得,"['HSK 4급 단어', '#/entry/zhko/bdb8f89d8d7040118fb097592b98778f', '#/entry/zhko/22b0621180054b22a0803f7c769a0943', 'HSK 5급 단어', '#/entry/zhko/9dec0603aeb24f649403d857d89d267c', 'HSK 6급 단어', '#/entry/zhko/119d4a3811894c158bab5dc6c034d039', '#/entry/zhko/9d93d07166be4fd581946645ff49a11b', '#/entry/zhko/0a89468bce9348df92776813fd1880c7', '#/entry/zhko/5a8cb1ae2fcc498aaf5089463fca6784', '#/entry/zhko/7c042564c1fd4dcda388d5901d0af7a5', '#/entry/zhko/99e97497eddb4bb8b10ca7d780231ffe', '#/entry/zhko/b9930714f8b040a388781efd1e20c5cc', '#/entry/zhko/bbb79b6aeb5b4f68929f6e6f81ecb14f']"
30,过,"['HSK 3급 단어', '#/entry/zhko/17805c8d0a494ac8bc90390d87e5f688', '#/entry/zhko/a8ff80f693c34a81849569ea626c11b1', '#/entry/zhko/2f8de7777af1439a932968a11fac618f', '#/entry/zhko/8df8b45a411a45e0aad4b4925cc491cb', 'HSK 4급 단어', '#/entry/zhko/73a52bf12f2f4095999c420f5caa3ec9', '#/entry/zhko/23156b4d0e564e56b9ad3d90f7e157f3', '#/entry/zhko/2b448aed5dd94df3aa58f5e18e2fe5e1', '#/entry/zhko/8a2cdcc042754d64877b36a32dce8179', 'HSK 5급 단어', '#/entry/zhko/27ee0fa3522844209eb496cc49887fb5', '#/entry/zhko/529197994e7b435dbf367c6ab3135129', '#/entry/zhko/b051bed643d247c790c922228126de39', '#/entry/zhko/c68b200434bb49aea462f772e77d32c6', 'HSK 6급 단어', '#/entry/zhko/989b2ad1f68d4eabae590e930ccc312f', '#/entry/zhko/98de1fc3d2914adc90126c0ac02a1aba', '#/entry/zhko/5b7ce7d52c1c4ce1b31b7f87dfd36ba8', '#/entry/zhko/57940f4c980b42c6ad6221428edf4fba', '#/entry/zhko/b8ec9352ef694c128a773f0214321430', '#/entry/zhko/c2e63f603588495f9a05773d554561de', '#/entry/zhko/7c7375b029fc4bb39f87c1759ca6264f']"
31,还,"['HSK 3급 단어', '#/entry/zhko/ffa2bb4e7031409d9c3216f9cd29f9ce']"
